date,text,ton
1387295527,Sitemap взятие кредита в сбербанке http://t.co/yxdVi1Myll,0
1388477220,"#news Четыре тысячи вкладчиков банка ""Аскольд"" получат возмещение по вкладам: АСВ выбрало ВТБ 24 банк... http://t.co/YfNsGlEqNF #novosti",0
1387475723,Янукович #пообещал #вернуть вклады Сбербанка СССР:,0
1387377846,сбербанк навязывает кредитную карту http://t.co/KcKhrXqgmX,-1
1388479337,С 28 января проезд нельзя будет оплатить картами Сбербанка Maestro и Visa Electron #news,-1
1406712769,"Банк Москвы, одно из трех финансовых учреждений, которое попало под экономические санкции США...",-1
1407042454,"да оно последние несколько дней на мтс криво открывается - иногда нормально, а иногда отпадает",-1
1386563606,http://t.co/3QWJc9y4pG как россельхозбанк кредитует крестьянские хозяйства ахтубинского района в 2012 году,0
1406644383,Обзор финансово-экономической прессы: В список санкций ЕС будут включены Сбербанк и ВТБ,-1
1406326367,Как скрыть номер на Мегафоне? http://t.co/e0vz9B7ogG,0
1386655260,МТС и Akamai ускоряют доступ к зарубежным интернет-ресурсам,1
1407639387,RT @IMorshead: альфа банк в омске кредит калькулятор http://t.co/ZQVaTlQlzO,0
1406724852,Калькулятор расчета ипотечного кредита сбербанк http://t.co/6ZL0tN3YHP,0
1407217176,"Узбекистан утвердил ""дорожную карту"" по созданию СП с МТС",0
1386569448,мтс айпад http://t.co/1zz5moyUjN,0
1406618436,http://t.co/rvKytwfJv9 Как взять кредит в россельхозбанке в нальчике,0
1407220169,RT @OKozyrov: в #Крыму таки сегодня как и ожидалось отключили работу украинского МТС. Номера украинской нумерации МТС недоступны.,-1
1406707295,«Мегафон» может создать сеть связи для госорганов,0
1407261052,"@Beeline_RUS Саратов то когда… Перешел с МТС к вам, а они недавно запустили 4г в Саратове.",1
1388061887,@arakybar @aeroflot у меня по @alfa_bank Аэрофлот-бонус за потраченное бабло должны мили начислять,0
1388942127,"@Beeline_RUS я понимаю, но я эту услугу не подключала",0
1387774195,"#билайн радует по покрытию непосредственно в самом городе, но #мтс за городом имеет приемущество.",1
1407401835,Газпромбанк и Россельхозбанк попросили помощи у государства http://t.co/8dJSOUvTUa http://t.co/0WzIWEzR91,-1
1407333504,Кредит под залог квартиры сбербанк http://t.co/y2bhKYV4QK,0
1389361259,http://t.co/BtAy19snym ставка ипотечного кредита сбербанк,0
1407506114,Сбербанк выпустил обновленную версию интернет-банка Сбербанк Онлайн с более простым и удобным интерфейсом.. Вологжанам доступна обновленная,1
1386938297,"@siyalovs Добрый день!Уточните,пож-та,какие сложности по работе услуг связи возникли?В каком городе наблюдается подобная ситуация?#билайн",0
1388261832,"@ptichkinaaaaa он в Билайне работает ты знаешь, кладу деньги вижу его",0
1407187722,"#ВзаимныйФолловинг Можно подумать, только Ростелеком-Юг такие сволочи, а в остальных компаниях сервис на европейском уровне.",-1
1407388819,Россельхозбанк и Газпромбанк попросили о господдержке из-за санкций: Россельхозбанк (РСХБ) и Газпромбанк попросили о государственной ...,-1
1407765044,Киев райффайзенбанк кредит за 48 часов http://t.co/O1uZJwOQtc,0
1387384686,МТС откроет мобильную академию в Николаеве и Херсоне http://t.co/IaOGIteIjZ,0
1387942992,«Билайн» запускает пакеты для общения по единой цене » MobInfo.uz http://t.co/dAIAegSWyR,0
1387283478,"RT @imerkouri: Кстати, справедливости ради, сообщаю вам о том, что Сбербанк вернул деньги. Ок.",1
1389952915,Я бы на месте Сбербанка лучше обучала своих сотрудников. Час стою.,-1
1388466789,Часть вкладчиков Инвестбанка переведут в Сбербанк,0
1407589357,Уралсиб банк реструктуризация кредитов http://t.co/L8quelfhOx,0
1387776871,МТС подарили 1 смс ^_^ ахах,1
1407781246,Потребительский кредит в сбербанк в красноярске http://t.co/NrEqNRS0ur,0
1386330246,@Beeline_RUS Отправил,0
1407538332,Кредиты газпромбанка работникам сибур http://t.co/fTVRDKSV7G,0
1406526009,RT @N_Shvetsov: После Намаза на выходе раздавали бесплатные симки зареганые на левое юр. лицо. Взял мтс и билайн :),0
1389674553,"RT @VaTrofimov: ""Сбербанк"" из-за сбоя повторно списал средства с карт некоторых клиентов http://t.co/M3d53bHafz",-1
1386755142,Как взять доверительный платеж на Билайне http://t.co/H1bjrV1LHQ,0
1387966475,Банк Москвы и MasterCard представили сервис оплаты питания в московских школах | MoneyNews http://t.co/DWXNEuXQZd,1
1387278246,кредитная карта россельхозбанка отзывы http://t.co/xOQ2eUW13W,0
1406603298,"http://t.co/z2zQyZNEMu Сбербанк и ВТБ попадут под санкции ЕС. Он расширил список лиц, к которым будут применены ограничения в ви",-1
1407768932,"@Lea6rfa9, #происшествия В ЛДПР раскритиковали заявление главы ВТБ 24 о российском парламенте #новости",0
1389945044,"Сбербанк, мтс, спортмастер СПАСИБО &lt;3 http://t.co/DO87jWPGAp",1
1406860378,http://t.co/H6zcT5U6UF Получить кредит в банк москвы,0
1389791693,"RT @Reutkirill: Хуже предприятия ОАО Сбербанк России возможно больше нету в мире!(((((((((((Руководящий состав скорее всего,это тупые куры!…",-1
1407098412,Кредиты сбер банка россии http://t.co/CFgeObAUms,0
1386942360,"@Beeline_RUS.  Добрый ночи!Дозвониться до вашей службы поддержки опять не судьба. Номер 89619685833 разберитесь,пожалуйста!",-1
1389808851,где находится номер карты сбербанка.txthttp://bit.ly/1dQ4eOm,0
1407166631,"Конечно была в шоке и написала жалобу в МТС, но менеджеры ничем не утешили и все списали на мою невнимательность.",-1
1387942754,#ручные настройки ммс билайн http://t.co/ieqNbdLgLS,0
1407062929,Кредиты в калининграде сбербанк http://t.co/nRQXjFGYIA,0
1406968855,Процентные ставки по кредитам в россельхозбанке в 2014 http://t.co/VZ65V4ZTw6,0
1406285036,http://t.co/5hSweYuyvp Сбербанк взять кредит на машину,0
1406883008,"http://t.co/QMssPCZ1V7 ""Ведомости"": создание СП ""Ростелекома"" и Tele2 задерживается",0
1406975841,«Билайн» делает мобильный видеоконтент еще доступней http://t.co/BNWQavLp2Y,1
1390135033,"Вооот, оно чо! @sberbank оказывается даёт ПРАВИЛЬНЫЕ советы по питанию, а по банковской деятельности не дают. Может в общепит обратиться?",-1
1387465085,#сбербанк онлайн опять не работает,-1
1387198417,"#сбербанк Сижу в очереди уже 2 часа и это отделение в центре Москвы на, газетном. Что же в регионах? http://t.co/sRhJDa5y0Y",-1
